true_participant,predicted_participant,count
participant_001,participant_001,5
participant_002,participant_001,0
participant_003,participant_001,0
participant_004,participant_001,0
participant_005,participant_001,0
participant_006,participant_001,2
participant_007,participant_001,0
participant_008,participant_001,0
participant_009,participant_001,0
participant_010,participant_001,0
participant_001,participant_002,0
participant_002,participant_002,6
participant_003,participant_002,0
participant_004,participant_002,0
participant_005,participant_002,0
participant_006,participant_002,0
participant_007,participant_002,0
participant_008,participant_002,0
participant_009,participant_002,0
participant_010,participant_002,0
participant_001,participant_003,0
participant_002,participant_003,0
participant_003,participant_003,6
participant_004,participant_003,0
participant_005,participant_003,6
participant_006,participant_003,0
participant_007,participant_003,0
participant_008,participant_003,0
participant_009,participant_003,0
participant_010,participant_003,0
participant_001,participant_004,0
participant_002,participant_004,0
participant_003,participant_004,0
participant_004,participant_004,6
participant_005,participant_004,0
participant_006,participant_004,0
participant_007,participant_004,0
participant_008,participant_004,0
participant_009,participant_004,0
participant_010,participant_004,0
participant_001,participant_005,0
participant_002,participant_005,0
participant_003,participant_005,0
participant_004,participant_005,0
participant_005,participant_005,0
participant_006,participant_005,0
participant_007,participant_005,0
participant_008,participant_005,0
participant_009,participant_005,0
participant_010,participant_005,0
participant_001,participant_006,0
participant_002,participant_006,0
participant_003,participant_006,0
participant_004,participant_006,0
participant_005,participant_006,0
participant_006,participant_006,4
participant_007,participant_006,0
participant_008,participant_006,0
participant_009,participant_006,0
participant_010,participant_006,0
participant_001,participant_007,0
participant_002,participant_007,0
participant_003,participant_007,0
participant_004,participant_007,0
participant_005,participant_007,0
participant_006,participant_007,0
participant_007,participant_007,6
participant_008,participant_007,0
participant_009,participant_007,0
participant_010,participant_007,0
participant_001,participant_008,1
participant_002,participant_008,0
participant_003,participant_008,0
participant_004,participant_008,0
participant_005,participant_008,0
participant_006,participant_008,0
participant_007,participant_008,0
participant_008,participant_008,6
participant_009,participant_008,0
participant_010,participant_008,0
participant_001,participant_009,0
participant_002,participant_009,0
participant_003,participant_009,0
participant_004,participant_009,0
participant_005,participant_009,0
participant_006,participant_009,0
participant_007,participant_009,0
participant_008,participant_009,0
participant_009,participant_009,6
participant_010,participant_009,0
participant_001,participant_010,0
participant_002,participant_010,0
participant_003,participant_010,0
participant_004,participant_010,0
participant_005,participant_010,0
participant_006,participant_010,0
participant_007,participant_010,0
participant_008,participant_010,0
participant_009,participant_010,0
participant_010,participant_010,6
