feature,average_duration_ms,complete_for_all_records,unique_values,max_value_frequency,coincidence_probability,passes_duration,passes_completeness,passes_uniqueness,selected_automatically,listed_in_article_figure,selected_for_model
applePay,0.4166666666666667,True,2,50,0.8166666666666667,True,True,False,False,False,False
architecture,0.3,True,2,36,0.5833333333333334,True,True,False,False,False,False
audio,8.383333333333333,True,6,24,0.38333333333333336,True,True,True,True,True,True
audioBaseLatency,3.316666666666667,True,2,50,0.8166666666666667,True,True,False,False,False,False
canvas,46.516666666666666,True,21,14,0.21666666666666667,True,True,True,True,False,True
colorDepth,0.03333333333333333,True,3,47,0.7666666666666667,True,True,False,False,False,False
colorGamut,0.25,True,2,43,0.7,True,True,False,False,False,False
contrast,0.016666666666666666,True,1,60,0.9833333333333333,True,True,False,False,False,False
cookiesEnabled,0.9,True,1,60,0.9833333333333333,True,True,False,False,False,False
cpuClass,0.0,False,1,60,0.9833333333333333,True,False,False,False,False,False
dateTimeLocale,0.18333333333333332,True,2,36,0.5833333333333334,True,True,False,False,False,False
deviceMemory,0.0,False,1,60,0.9833333333333333,True,False,False,False,False,False
domBlockers,73.5,False,2,50,0.8166666666666667,True,False,False,False,True,False
fontPreferences,69.6,True,10,12,0.18333333333333332,True,True,True,True,False,True
fonts,118.58333333333333,True,8,18,0.2833333333333333,False,True,True,False,False,False
forcedColors,0.05,True,1,60,0.9833333333333333,True,True,False,False,False,False
hardwareConcurrency,0.16666666666666666,True,3,42,0.6833333333333333,True,True,False,False,True,False
hdr,0.016666666666666666,True,2,47,0.7666666666666667,True,True,False,False,False,False
indexedDB,0.31666666666666665,True,1,60,0.9833333333333333,True,True,False,False,False,False
invertedColors,0.06666666666666667,False,2,50,0.8166666666666667,True,False,False,False,False,False
languages,0.5666666666666667,True,6,18,0.2833333333333333,True,True,True,True,False,True
localStorage,0.06666666666666667,True,1,60,0.9833333333333333,True,True,False,False,True,False
math,0.23333333333333334,True,2,50,0.8166666666666667,True,True,False,False,False,False
monochrome,0.11666666666666667,True,1,60,0.9833333333333333,True,True,False,False,False,False
openDatabase,0.05,True,1,60,0.9833333333333333,True,True,False,False,False,False
osCpu,0.03333333333333333,False,3,36,0.5833333333333334,True,False,False,False,False,False
pdfViewerEnabled,0.016666666666666666,True,1,60,0.9833333333333333,True,True,False,False,False,False
platform,0.016666666666666666,True,4,24,0.38333333333333336,True,True,True,True,True,True
plugins,0.5833333333333334,True,2,54,0.8833333333333333,True,True,False,False,True,False
privateClickMeasurement,0.05,False,2,50,0.8166666666666667,True,False,False,False,False,False
reducedMotion,0.06666666666666667,True,1,60,0.9833333333333333,True,True,False,False,False,False
reducedTransparency,0.03333333333333333,False,2,34,0.55,True,False,False,False,False,False
screenFrame,0.7166666666666667,False,9,31,0.5,True,False,False,False,False,False
screenResolution_height,0.05,False,7,23,0.36666666666666664,True,False,True,False,True,False
screenResolution_width,0.05,False,8,23,0.36666666666666664,True,False,True,False,True,False
sessionStorage,0.36666666666666664,True,1,60,0.9833333333333333,True,True,False,False,False,False
timezone,12.583333333333334,True,3,24,0.38333333333333336,True,True,True,True,True,True
touchSupport,0.2833333333333333,True,2,54,0.8833333333333333,True,True,False,False,False,False
vendor,0.0,False,3,26,0.4166666666666667,True,False,True,False,False,False
vendorFlavors,0.05,True,3,30,0.48333333333333334,True,True,True,True,False,True
webGlBasics,28.633333333333333,True,7,14,0.21666666666666667,True,True,True,True,False,True
webGlExtensions,19.416666666666668,True,8,14,0.21666666666666667,True,True,True,True,False,True
