k,accuracy,mean_authenticity_probability,authentication_rate_at_0_5
1,0.85,0.85,0.85
2,0.7833333333333333,0.8166666666666667,0.85
3,0.7833333333333333,0.8055555555555556,0.7833333333333333
4,0.7833333333333333,0.75,0.7833333333333333
5,0.7833333333333333,0.7000000000000001,0.7833333333333333
6,0.5833333333333334,0.5888888888888888,0.7833333333333333
7,0.5833333333333334,0.519047619047619,0.5833333333333334
8,0.5833333333333334,0.4666666666666667,0.5833333333333334
9,0.5833333333333334,0.4259259259259259,0.5
