k,mean_accuracy,mean_precision,mean_recall,mean_f1,mean_false_acceptance_rate,mean_false_rejection_rate,mean_authenticity_probability
1,0.986,0.9329292929292929,0.93,0.9292800182273867,0.0077777777777777776,0.06999999999999999,0.1
2,0.9810000000000001,0.9584090909090909,0.85,0.894579340508133,0.0044444444444444444,0.15,0.1
3,0.975,0.8913636363636364,0.86,0.8726482873851295,0.012222222222222221,0.13999999999999999,0.1
4,0.974,0.9477272727272726,0.7899999999999999,0.8412875136559347,0.005555555555555556,0.21000000000000002,0.1
5,0.975,0.919520202020202,0.8300000000000001,0.8583777625882888,0.008888888888888889,0.16999999999999998,0.1
6,0.9710000000000001,0.9145202020202021,0.7899999999999999,0.8212349054454318,0.008888888888888889,0.21000000000000002,0.1
7,0.97,0.8991666666666667,0.8,0.8260422034106245,0.011111111111111112,0.2,0.1
8,0.9570000000000001,0.7158333333333333,0.67,0.6889792663476874,0.011111111111111112,0.32999999999999996,0.1
9,0.952,0.6801190476190476,0.67,0.6692424242424242,0.016666666666666666,0.32999999999999996,0.1
